App1e	Tiene bugs	447.58296770457343	2012-09-14
App2c	Esta malo	143.8383028384401	2009-04-20
App3a	Esta bueno	708.5685084118812	2003-08-28
App4n	Esta bueno	561.3094292039955	2015-07-08
App5x	Esta regular	523.2902131970643	2009-12-03
App6j	Tiene fallos	182.9432554282646	2014-03-13
App7v	Esta regular	499.78861515882744	2004-07-18
App8o	Falla al inicio	806.4828165493999	2005-10-18
App9k	Esta regular	111.02390741384487	2019-01-10
App10s	Esta bueno	890.5163506985209	2007-05-01
App11k	Tiene fallos	453.88098278857115	2011-09-29
App12d	Tiene bugs	815.0597938593364	2017-01-03
App13q	No funciona para android 11	353.0520206252919	2012-06-02
App14w	Tiene fallos	214.20990688868946	2019-04-18
App15l	Edicion limitada	785.8025139680906	2006-11-22
App16y	No funciona para android 11	413.61093492478534	2019-08-20
App17d	Tiene fallos	926.3927699363544	2006-10-10
App18o	No funciona para android 11	480.2978078767284	2001-06-28
App19c	Funciona perfectamente	407.3811958636097	2002-12-13
App20u	Falla al inicio	376.8887361270774	2012-11-29
App21i	No tiene compatibilidad con Samsung	149.7456339383433	2008-11-19
App22l	Esta regular	497.4733199795018	2003-12-05
App23j	No tiene compatibilidad con Samsung	557.5053902407558	2016-01-06
App24q	Falla al inicio	912.8761872187954	2000-01-05
App25z	Tiene bugs	275.64429385587084	2002-11-24
App26r	Funciona perfectamente	568.3707970548431	2019-04-18
App27f	Esta malo	183.62639559671675	2015-07-01
App28d	Tiene bugs	359.11354678077305	2010-07-03
App29o	Edicion limitada	900.9941195244118	2019-12-09
App30p	Falla al inicio	130.59345745617105	2008-07-16
App31c	Tiene bugs	693.2543651730516	2007-01-09
App32v	Falla al inicio	341.64263052971023	2015-05-12
App33y	Tiene fallos	115.42275254141552	2009-07-02
App34z	Esta malo	840.0328991233446	2006-11-06
App35n	Funciona perfectamente	157.46941969283557	2001-01-23
App36i	Tiene fallos	128.5086098901073	2018-05-29
App37s	No funciona para android 11	123.75892691004361	2013-09-11
App38e	Esta bueno	998.135913017631	2002-04-23
App39o	No tiene compatibilidad con Samsung	927.2349850661626	2018-01-19
App40w	Esta malo	725.8528286972214	2020-09-17
App41s	Esta regular	986.0791256126612	2002-06-11
App42b	Falla al inicio	694.6914373937784	2015-10-01
App43s	Esta regular	894.6337041789582	2018-09-16
App44u	Esta bueno	101.19083307402552	2010-04-20
App45o	No funciona para android 11	806.5042556945433	2004-04-14
App46n	Edicion limitada	778.15761203463	2013-10-18
App47r	Esta bueno	726.3336629138204	2005-12-06
App48e	Tiene bugs	1016.0553363250162	2008-07-31
App49d	No tiene compatibilidad con Samsung	626.5690911743184	2019-04-01
App50z	Funciona perfectamente	846.0624048007608	2007-02-05
